Id,X,Y,Signal
1,212,149,243
2,212,202,20
3,212,220,20
4,212,245,20
5,213,-293,83
6,213,-292,83
7,213,-290,83
8,213,-173,74
9,213,-169,74
10,213,88,243
11,213,89,243
12,213,98,116
13,213,116,70
14,213,117,70
15,213,124,206
16,213,157,20
17,213,158,20
18,213,162,20
19,213,202,20
20,213,245,20
21,214,-259,83
22,214,-227,243
23,214,-11,74
24,214,-5,74
25,214,82,50
26,214,116,70
27,214,125,206
28,214,128,206
29,215,-290,83
30,215,-271,50
31,215,-172,179
32,215,-171,179
33,215,-170,179
34,215,66,100
35,215,96,116
36,215,98,116
37,215,99,116
38,215,114,70
39,215,115,70
40,215,116,70
41,215,165,116
42,215,168,116
43,216,-259,83
44,216,-258,83
45,216,-257,83
46,216,-256,83
47,216,-191,100
48,216,-171,179
49,216,-118,243
50,216,-117,243
51,216,-8,179
52,216,65,100
53,216,167,116
54,217,-283,206
55,217,-192,100
56,217,-179,116
57,217,-173,74
58,217,-169,74
59,217,-118,50
60,217,-9,179
61,217,-8,179
62,217,-7,179
63,217,64,100
64,217,96,116
65,217,166,116
66,217,169,116
67,217,191,70
68,217,216,74
69,217,285,20
70,218,-193,100
71,218,-174,74
72,218,-168,74
73,218,-94,70
74,218,-93,70
75,218,-8,179
76,218,81,74
77,218,96,116
78,218,132,243
79,218,144,83
80,218,145,83
81,218,146,83
82,218,147,83
83,218,191,70
84,218,201,100
85,218,216,74
86,218,236,70
87,218,237,70
88,219,-285,206
89,219,-271,50
90,219,-270,243
91,219,-233,243
92,219,-232,243
93,219,-228,243
94,219,-227,243
95,219,-194,100
96,219,-146,111
97,219,-140,111
98,219,-120,50
99,219,-10,74
100,219,-6,74
101,219,144,83
102,219,191,70
103,219,202,100
104,219,216,74
105,219,236,70
106,220,-271,243
107,220,-270,243
108,220,-233,243
109,220,-232,243
110,220,-228,243
111,220,-227,243
112,220,-145,74
113,220,-141,74
114,220,-60,243
115,220,-59,50
116,220,-11,74
117,220,-5,74
118,220,10,116
119,220,104,83
120,220,105,83
121,220,144,83
122,220,208,20
123,220,213,74
124,220,214,74
125,220,215,74
126,220,217,74
127,220,218,74
128,220,219,74
129,220,230,243
130,220,234,70
131,220,235,70
132,220,236,70
133,220,262,179
134,221,-284,206
135,221,-234,243
136,221,-220,20
137,221,-219,20
138,221,-216,20
139,221,-214,20
140,221,-143,116
141,221,-76,70
142,221,-60,243
143,221,-59,243
144,221,-55,243
145,221,-47,20
146,221,25,70
147,221,26,70
148,221,27,70
149,221,72,111
150,221,120,50
151,221,128,50
152,221,169,116
153,221,216,74
154,221,260,74
155,221,264,74
156,222,-283,206
157,222,-280,206
158,222,-144,116
159,222,-142,116
160,222,-76,70
161,222,-61,50
162,222,-47,20
163,222,25,70
164,222,71,74
165,222,121,90
166,222,122,90
167,222,126,90
168,222,127,90
169,222,155,74
170,222,161,74
171,222,168,116
172,222,171,116
173,222,190,206
174,222,216,74
175,222,259,74
176,222,265,74
177,223,-262,20
178,223,-252,83
179,223,-250,83
180,223,-167,243
181,223,-166,243
182,223,-160,50
183,223,-152,50
184,223,-143,116
185,223,-76,70
186,223,24,70
187,223,25,70
188,223,35,74
189,223,83,70
190,223,84,70
191,223,121,90
192,223,122,50
193,223,126,50
194,223,127,90
195,223,156,74
196,223,160,74
197,223,190,206
198,223,216,74
199,223,247,100
200,224,-282,206
201,224,-262,20
202,224,-207,74
203,224,-206,74
204,224,-165,50
205,224,-159,90
206,224,-158,90
207,224,-154,90
208,224,-153,90
209,224,-145,74
210,224,-141,74
211,224,-134,70
212,224,34,74
213,224,83,70
214,224,158,179
215,224,248,100
216,225,-252,83
217,225,-159,90
218,225,-158,50
219,225,-154,50
220,225,-153,90
221,225,-146,111
222,225,-140,111
223,225,-118,74
224,225,-114,70
225,225,-113,70
226,225,-112,70
227,225,-104,166
228,225,-84,70
229,225,-83,70
230,225,-76,70
231,225,-47,20
232,225,69,116
233,225,93,70
234,225,94,70
235,225,124,50
236,225,157,179
237,225,158,179
238,225,159,179
239,225,189,206
240,225,190,206
241,225,192,206
242,225,226,70
243,225,227,70
244,225,249,100
245,226,-235,243
246,226,-232,70
247,226,-231,70
248,226,-230,70
249,226,-229,70
250,226,-177,83
251,226,-176,83
252,226,-175,83
253,226,-174,83
254,226,-120,116
255,226,-114,70
256,226,-104,166
257,226,-84,70
258,226,-76,70
259,226,-47,20
260,226,67,74
261,226,71,74
262,226,137,100
263,226,226,70
264,226,250,100
265,227,-262,20
266,227,-257,116
267,227,-235,243
268,227,-204,74
269,227,-174,83
270,227,-156,50
271,227,-120,116
272,227,-119,116
273,227,-115,70
274,227,-114,70
275,227,-104,166
276,227,-101,166
277,227,-97,166
278,227,-86,70
279,227,-85,70
280,227,-84,70
281,227,-70,100
282,227,-47,20
283,227,2,116
284,227,9,70
285,227,10,70
286,227,66,111
287,227,72,111
288,227,121,90
289,227,122,50
290,227,126,50
291,227,127,90
292,227,136,100
293,227,190,206
294,227,240,116
295,227,251,100
296,228,-262,20
297,228,-236,243
298,228,-187,100
299,228,-174,83
300,228,-166,70
301,228,-120,116
302,228,-104,166
303,228,-69,100
304,228,9,70
305,228,121,90
306,228,122,90
307,228,126,90
308,228,127,90
309,228,135,100
310,228,190,206
311,229,-262,20
312,229,-259,116
313,229,-256,116
314,229,-188,100
315,229,-159,90
316,229,-158,50
317,229,-154,50
318,229,-153,90
319,229,-68,100
320,229,3,116
321,229,7,70
322,229,8,70
323,229,9,70
324,229,120,50
325,229,128,50
326,229,134,100
327,229,146,50
328,230,-257,116
329,230,-189,100
330,230,-159,90
331,230,-158,90
332,230,-154,90
333,230,-153,90
334,230,-101,166
335,230,-98,166
336,230,-67,100
337,230,-11,83
338,230,-10,83
339,230,-9,83
340,230,-8,83
341,230,77,83
342,230,78,83
343,230,79,83
344,230,147,90
345,230,165,116
346,230,168,116
347,231,-258,116
348,231,-255,116
349,231,-190,100
350,231,-160,50
351,231,-152,50
352,231,-8,83
353,231,79,83
354,231,147,90
355,231,154,20
356,231,155,20
357,231,156,20
358,231,159,20
359,231,160,20
360,231,170,243
361,231,200,50
362,231,208,50
363,232,-191,100
364,232,-98,166
365,232,-97,166
366,232,-96,166
367,232,-8,83
368,232,79,83
369,232,94,116
370,232,167,116
371,232,201,90
372,232,202,90
373,232,206,90
374,232,207,90
375,232,223,111
376,232,229,111
377,233,-283,20
378,233,-281,20
379,233,-228,70
380,233,-227,70
381,233,-226,70
382,233,-142,83
383,233,-140,83
384,233,-131,206
385,233,-116,20
386,233,-115,20
387,233,-112,20
388,233,-111,20
389,233,-110,20
390,233,-61,70
391,233,-60,70
392,233,79,83
393,233,94,116
394,233,105,20
395,233,201,90
396,233,202,50
397,233,206,50
398,233,207,90
399,233,224,74
400,233,228,74
401,233,235,74
402,234,-231,100
403,234,-226,70
404,234,-215,20
405,234,-214,20
406,234,-213,20
407,234,-210,20
408,234,-209,20
409,234,-157,116
410,234,-154,116
411,234,-153,116
412,234,-131,206
413,234,-93,166
414,234,-61,70
415,234,105,20
416,234,187,206
417,234,188,206
418,234,226,116
419,234,235,74
420,235,-272,74
421,235,-240,100
422,235,-226,70
423,235,-142,83
424,235,-93,166
425,235,-88,166
426,235,-63,70
427,235,-62,70
428,235,-61,70
429,235,92,116
430,235,94,116
431,235,95,116
432,235,128,20
433,235,129,20
434,235,130,20
435,235,133,20
436,235,134,20
437,235,167,116
438,235,188,206
439,235,204,50
440,235,225,116
441,235,227,116
442,235,235,74
443,235,245,100
444,236,-239,100
445,236,-196,50
446,236,-132,206
447,236,-131,206
448,236,-129,206
449,236,-93,166
450,236,-90,166
451,236,-86,166
452,236,-78,83
453,236,-53,70
454,236,-52,70
455,236,-51,70
456,236,167,116
457,236,176,83
458,236,188,206
459,236,226,116
460,236,236,74
461,236,237,74
462,236,244,100
463,237,-238,100
464,237,-202,243
465,237,-198,243
466,237,-197,243
467,237,-147,116
468,237,-123,20
469,237,-93,166
470,237,-78,83
471,237,-53,70
472,237,68,83
473,237,70,83
474,237,92,116
475,237,105,20
476,237,146,50
477,237,176,83
478,237,201,90
479,237,202,50
480,237,206,50
481,237,207,90
482,237,224,74
483,237,228,74
484,237,235,74
485,238,-237,100
486,238,-202,50
487,238,-198,50
488,238,-197,243
489,238,-131,206
490,238,-78,83
491,238,-70,74
492,238,-54,70
493,238,-53,70
494,238,-8,70
495,238,92,116
496,238,105,20
497,238,176,83
498,238,177,83
499,238,178,83
500,238,179,83
501,238,186,206
502,238,201,90
503,238,202,90
504,238,206,90
505,238,207,90
506,238,223,111
507,238,229,111
508,238,235,74
509,239,-271,243
510,239,-260,74
511,239,-254,74
512,239,-236,100
513,239,-222,116
514,239,-149,116
515,239,-146,116
516,239,-131,206
517,239,-90,166
518,239,-87,166
519,239,-79,83
520,239,-78,83
521,239,-70,74
522,239,-13,116
523,239,-9,70
524,239,-8,70
525,239,68,83
526,239,105,20
527,239,167,116
528,239,200,50
529,239,208,50
530,240,-259,74
531,240,-255,74
532,240,-222,116
533,240,-182,83
534,240,-181,83
535,240,-180,83
536,240,-179,83
537,240,-147,116
538,240,-70,74
539,240,-1,83
540,240,0,83
541,240,1,83
542,240,2,83
543,240,12,166
544,240,124,70
545,240,125,70
546,240,213,166
547,241,-257,116
548,241,-182,83
549,241,-172,20
550,241,-171,20
551,241,-170,20
552,241,-148,116
553,241,-145,116
554,241,-100,50
555,241,-87,166
556,241,-86,166
557,241,-85,166
558,241,-84,166
559,241,-13,116
560,241,2,83
561,241,12,166
562,241,17,166
563,241,63,116
564,241,148,83
565,241,150,83
566,242,-258,116
567,242,-256,116
568,242,-245,74
569,242,-202,50
570,242,-195,116
571,242,-182,83
572,242,-161,74
573,242,-99,90
574,242,-98,90
575,242,2,83
576,242,12,166
577,242,15,166
578,242,19,166
579,243,-257,116
580,243,-244,74
581,243,-202,243
582,243,-195,116
583,243,-160,74
584,243,-99,90
585,243,-98,50
586,243,12,166
587,243,29,83
588,243,48,70
589,243,61,116
590,243,64,116
591,243,120,83
592,243,148,83
593,243,170,166
594,243,186,206
595,243,189,206
596,244,-259,74
597,244,-255,74
598,244,-204,50
599,244,-114,116
600,244,-91,90
601,244,-90,50
602,244,-86,50
603,244,-85,90
604,244,29,83
605,244,48,70
606,244,63,116
607,244,120,83
608,244,172,166
609,245,-278,70
610,245,-254,74
611,245,-243,116
612,245,-242,116
613,245,-238,70
614,245,-197,116
615,245,-195,116
616,245,-194,116
617,245,-159,179
618,245,-114,116
619,245,-96,50
620,245,-91,90
621,245,-90,90
622,245,-86,90
623,245,-85,90
624,245,15,166
625,245,18,166
626,245,26,83
627,245,27,83
628,245,28,83
629,245,29,83
630,245,48,70
631,245,65,116
632,245,89,50
633,245,120,83
634,245,135,100
635,245,143,116
636,245,213,74
637,245,219,74
638,246,-278,70
639,246,-271,74
640,246,-265,74
641,246,-214,116
642,246,-211,116
643,246,-185,116
644,246,-147,116
645,246,-92,50
646,246,-84,50
647,246,-71,83
648,246,-70,83
649,246,-69,83
650,246,87,243
651,246,88,243
652,246,136,100
653,246,197,100
654,246,214,74
655,246,218,74
656,247,-278,70
657,247,-270,74
658,247,-266,74
659,247,-240,70
660,247,-229,83
661,247,-228,83
662,247,-227,83
663,247,-212,116
664,247,-197,116
665,247,-160,74
666,247,-131,243
667,247,-130,243
668,247,-126,243
669,247,-125,243
670,247,-116,116
671,247,-114,116
672,247,-113,116
673,247,-99,90
674,247,-98,50
675,247,-69,83
676,247,-11,70
677,247,-10,70
678,247,-9,70
679,247,18,166
680,247,19,166
681,247,20,166
682,247,21,166
683,247,48,70
684,247,87,50
685,247,88,243
686,247,96,83
687,247,141,116
688,247,144,116
689,247,162,70
690,247,163,70
691,247,171,166
692,247,198,100
693,247,216,116
694,248,-268,116
695,248,-240,70
696,248,-213,116
697,248,-210,116
698,248,-197,116
699,248,-161,74
700,248,-132,243
701,248,-124,243
702,248,-99,90
703,248,-98,90
704,248,-69,83
705,248,-2,74
706,248,4,74
707,248,48,70
708,248,78,83
709,248,80,83
710,248,128,70
711,248,129,70
712,248,143,116
713,248,162,70
714,248,199,100
715,248,215,116
716,248,216,116
717,248,217,116
718,249,-278,70
719,249,-269,116
720,249,-267,116
721,249,-240,70
722,249,-116,116
723,249,-104,70
724,249,-100,50
725,249,-69,83
726,249,-59,20
727,249,-23,70
728,249,-22,70
729,249,-21,70
730,249,-20,70
731,249,-17,70
732,249,-16,70
733,249,85,50
734,249,128,70
735,249,142,116
736,249,145,116
737,249,162,70
738,249,171,166
739,249,172,166
740,249,173,166
741,249,181,100
742,249,200,100
743,249,216,116
744,250,-278,70
745,250,-268,116
746,250,-116,116
747,250,-104,70
748,250,-54,74
749,250,78,83
750,250,126,70
751,250,127,70
752,250,128,70
753,250,180,100
754,250,192,70
755,250,201,100
756,250,214,74
757,250,218,74
758,251,-270,74
759,251,-266,74
760,251,-240,70
761,251,-104,70
762,251,36,83
763,251,37,83
764,251,98,50
765,251,107,74
766,251,179,100
767,251,192,70
768,252,-271,74
769,252,-265,74
770,252,-259,50
771,252,-240,70
772,252,-184,100
773,252,73,116
774,252,96,243
775,252,97,243
776,252,107,74
777,252,150,74
778,252,156,74
779,252,178,100
780,252,192,70
781,253,-246,70
782,253,-245,70
783,253,-229,50
784,253,-223,50
785,253,-185,100
786,253,-162,100
787,253,-80,206
788,253,-79,206
789,253,13,111
790,253,28,100
791,253,34,83
792,253,96,50
793,253,97,243
794,253,107,74
795,253,151,74
796,253,155,74
797,253,177,100
798,254,-246,70
799,254,-225,243
800,254,-224,243
801,254,-186,100
802,254,-79,206
803,254,14,74
804,254,29,100
805,254,71,116
806,254,74,116
807,254,138,206
808,254,153,116
809,254,171,116
